id,name,duration,duration_label,lat,long,risk,city_id,category,sub_category,description,image_url,entry_fee,source,source_url,last_updated
11,Parsurameswara Temple,2.0,1.5 to 2.5 Hours,20.243131,85.839047,Low,1,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"Parsurameswara Temple (IAST: Paraśurāmeśvara) also spelt Parashurameshvara, is a Hindu temple, located in the East Indian city of Bhubaneswar, the capital of Odisha, India, is considered the best preserved specimen of an early Odia Hindu temple dated to the Shailodbhava period between the 7th and 8th centuries CE. The temple is dedicated to the Hindu god Shiva and is one of the oldest existing temples in the state.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Parsurameswara_temple_complex.jpg/960px-Parsurameswara_temple_complex.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Parsurameswara_Temple,2026-08-11T23:17:34Z
12,"Jagannath Temple, Puri",2.0,1.5 to 2.5 Hours,19.804722,85.818333,Low,2,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"The Jagannath Temple is a Hindu temple dedicated to Jagannath, a form of Vishnu. It is located in Puri, Odisha, on the eastern coast of India.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Shri_Jagannath_temple.jpg/960px-Shri_Jagannath_temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,"https://en.wikipedia.org/wiki/Jagannath_Temple,_Puri",2026-08-26T22:26:58Z
13,Gundicha Temple,2.0,1.5 to 2.5 Hours,19.816917,85.840361,Low,2,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"Gundicha Temple (Odia: ଗୁଣ୍ଡିଚା ମନ୍ଦିର), is a Hindu temple, situated in the temple town of Puri in the state of Odisha, India. It is significant for being the destination of the celebrated annual Rath Yatra of Puri.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gundicha_Temple%2C_Puri%2C_Odisha1.JPG/960px-Gundicha_Temple%2C_Puri%2C_Odisha1.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Gundicha_Temple,2026-08-23T09:08:26Z
14,Lokanatha Temple,2.0,1.5 to 2.5 Hours,19.920493,85.818156,Low,2,Temple & Sacred Sanctum,Shiva Temple,"Lokanatha Temple in Puri, Odisha, is a Hindu shrine dedicated to Lord Shiva as Lokanatha, famed for its linga that remains perpetually under water. The deity is regarded as the guardian of the Jagannath Temple’s treasures, and the temple celebrates festivals such as Shivaratri, Sankranti Somavar and weekly fairs that attract many devotees seeking the linga’s reputed healing powers.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Lokanath_temple.jpeg/960px-Lokanath_temple.jpeg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Lokanatha_Temple,2026-08-10T12:31:17Z
15,Raghurajpur,2.5,2 to 3 Hours,19.885556,85.826389,Low,2,"Arts, Crafts & Museum",Traditional Handloom & Crafts Village,"Raghurajpur is a heritage crafts village in Puri district, Odisha, India, known for its master Pattachitra painters, an art form which dates back to 5 BC in the region, and Gotipua dance troupes, the precursor to the Indian classical dance form of Odissi. It is also known as the birthplace of the Odissi exponents Padma Vibhushan Guru and Kelucharan Mohapatra and the Gotipua dancer Padma Shri Guru Maguni Charan Das.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Entrance_of_Raghurajpur.jpg/960px-Entrance_of_Raghurajpur.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry to artisan workshops,Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Raghurajpur,2026-08-14T19:37:15Z
16,Konark Sun Temple,2.5,2 to 2.5 Hours,19.8875,86.094722,Low,2,Heritage & Sacred Sanctum,UNESCO World Heritage Sun Temple,"Konark Sun Temple is a 13th-century CE Hindu Sun temple at Konark about 35 kilometres (22 mi) northeast from Puri city on the coastline in Puri district, Odisha, India. The temple is attributed to king Narasingha Deva I of the Eastern Ganga dynasty about 1250 CE.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Konarka_Temple.jpg/960px-Konarka_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"₹40 for Indians, ₹600 for Foreigners (ASI ticketed)",Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Konark_Sun_Temple,2026-08-26T22:27:09Z
17,"Varahi Deula, Chaurasi",2.0,1.5 to 2.5 Hours,20.058536,86.118472,Low,2,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"Barahi Deula (Odia:ବାରାହୀ ଦେଉଳ) is an ancient 10th century built temple situated on the eastern coast of Odisha in Puri district, India. The barahi temple of Chaurasi is unique in more than one way.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Varahi_Temple_1.jpg/960px-Varahi_Temple_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,"https://en.wikipedia.org/wiki/Varahi_Deula,_Chaurasi",2026-08-21T09:18:11Z
18,Alarnatha Mandira,2.0,1.5 to 2.5 Hours,19.79488,85.650201,Low,2,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"Alarnatha Mandira or Alvarnaatha Mandira (Sanskrit: अल्वार् नाथ), (Odia: ଅଲାରନାଥ) is a Hindu temple dedicated to Vishnu and located in Brahmagiri, Odisha, near Puri. The temple also houses a shrine for his consort Mahalakshmi.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Alarnatha_Mandira.jpg/960px-Alarnatha_Mandira.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Alarnatha_Mandira,2026-08-21T09:18:11Z
19,Barabati fort,2.0,1.5 to 2.5 Hours,20.484631,85.864425,Low,3,Monument & Fort,10th-Century Somavamshi Fortification Ruins,"Barabati Fort is a 987 CE fort built by Marakata Keshari of Somavanshi (Keshari) dynasty in Cuttack, Odisha. The ruins of the fort remain with its moat, gate, and the earthen mound of the nine-storied palace.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Entrance_of_Barabati_fort.jpg/960px-Entrance_of_Barabati_fort.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (ASI protected monument),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Barabati_fort,2026-08-22T21:37:30Z
20,Kataka Chandi Mandir,2.0,1.5 to 2.5 Hours,20.477244,85.862564,Low,3,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"The Kataka Chandi Mandir is a temple dedicated to the Hindu goddess Chandi in Kataka, Odisha, India, near the banks of the Mahanadi River. Chandi Devi Chandi Mandir, Chandigarh Chandi Devi Temple, Haridwar.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Katak_Chandi_temple.jpg/960px-Katak_Chandi_temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Kataka_Chandi_Mandir,2026-08-21T10:57:31Z
21,Dhabaleswar Temple,2.0,1.5 to 2.5 Hours,20.504117,85.803524,Low,3,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,"Dhabaleswar Temple is dedicated to the worship of Lord Shiva. It is situated at a distance of 27 km from the city of Cuttack, Odisha, India, on the riverine island of Lord Dhabaleshwar.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Dhabaleswar_Temple.JPG/960px-Dhabaleswar_Temple.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Dhabaleswar_Temple,2026-08-12T08:46:38Z
22,Choudwar,2.0,1.5 to 2.5 Hours,20.533333,85.917222,Low,3,Temple & Sacred Sanctum,Kalinga Architecture Sacred Sanctum,Choudwar is a town and a municipality in Cuttack district in the Indian state of Odisha. It comes under Bhubaneswar-Cuttack commissionerate.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Choudwar_Cuttack.jpg/960px-Choudwar_Cuttack.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Free entry (Donations welcome; special darshan queue fees may apply),Wikipedia & SerpApi,https://en.wikipedia.org/wiki/Choudwar,2026-08-18T03:51:41Z
