id,name,duration,popularity,lat,long,risk,city_id,category,sub_category,duration_label,image_url,entry_fee,description
17,Konark Sun Temple,2.5,5.0,19.8876,86.0945,Low,2,Heritage & Sacred Sanctum,UNESCO World Heritage Sun Temple,2 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/konark-temple-puri-odisha-1-attr-hero?qlt=82&ts=1726674697395,Free entry (Donations welcome; special darshan queue fees may apply),"Konark Sun Temple A world-renowned heritage site in Puri, India, featuring impressive architecture and intricate carvings that depict the Sun God."
18,Loknath Temple,2.0,4.6,19.799,85.808,Low,2,Temple & Sacred Sanctum,Submerged Shiva Lingam Shrine,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/loknath-temple-puri-odisha-1-attr-hero?qlt=82&ts=1726674731200,Free entry (Donations welcome; special darshan queue fees may apply),"Loknath Temple in Puri, India, is a significant Hindu shrine devoted to Lord Shiva. It is celebrated for its spiritual significance and the grand Maha Shivaratri festival."
19,Ansupa Lake & Nature Camp,3.0,4.5,20.463,85.602,Low,3,Nature & Scenic Sanctum,Freshwater Lake & Eco-Tourism Camp,2.5 to 3.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/ansupa-lake-cuttack-odisha-1-attr-hero?qlt=82&ts=1726674675128,Entry fee applicable; verify on-site,"Plan a visit to Ansupa Lake near Cuttack for a peaceful retreat amidst nature's beauty, with boating, fishing, and birdwatching opportunities for all to enjoy."
20,Barabati Fort,2.0,4.7,20.485,85.867,Low,3,Monument & Fort,14th Century Kalinga Fortification,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/barabati-fort-cuttack-odisha-1-attr-hero?qlt=82&ts=1726663491030,Entry fee applicable; verify on-site,"Barabati Fort, nestled in the historic city of Cuttack, stands as a majestic testament to Odisha's rich heritage, enchanting tourists with its ancient ruins."
21,Barabati Stadium,2.0,4.4,20.482,85.869,Low,3,Monument & Fort,Sports & Recreation Heritage,1.5 to 2 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/barabati-stadium-cuttack-odisha-barabati-stadium1-attr-hero?qlt=82&ts=1726674702106,Entry fee applicable; verify on-site,"Experience the thrill of cricket at Cuttack's Barabati Stadium, a world-class venue and home to some of the most exciting matches in the sport."
22,Chandaka Elephant Sanctuary,2.5,4.5,20.37,85.74,Low,3,Nature & Scenic Sanctum,Wildlife Sanctuary & Eco-Heritage,2 to 3 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/cuttack-odisha-bhitarkanika-national-park-cuttack-orissa-1-attr-hero?qlt=82&ts=1726674724638,Entry fee applicable; verify on-site,"A wildlife reserve near Cuttack and Bhubaneswar known for its resident elephant population and diverse flora and fauna, offering nature trails and birdwatching."
23,Cuttack Chandi Temple,1.5,4.8,20.467,85.863,Low,3,Temple & Sacred Sanctum,Presiding Goddess Temple,1 to 1.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/cuttack-chandi-temple-cuttack-odisha-chandi-temple1-attr-hero?qlt=82&ts=1726663557866,Free entry (Donations welcome; special darshan queue fees may apply),"Explore the divine beauty of Cuttack Chandi Temple, a popular Hindu shrine in Cuttack dedicated to Goddess Chandi and adorned with intricate artwork."
24,Dhabaleswar Island Temple,2.0,4.6,20.505,85.83,Low,3,Temple & Sacred Sanctum,Island Shiva Temple with Suspension Bridge,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/dhabaleswar-temple-cuttack-odisha-dhabaleswar-temple1-attr-hero?qlt=82&ts=1726663591172,Free entry (Donations welcome; special darshan queue fees may apply),"Discover the spiritual aura of Dhabaleswar Temple, a revered Hindu shrine in Cuttack located on an island in the Mahanadi River and known for its scenic beauty."
25,Jajpur Heritage Sites,3.5,4.5,20.85,86.33,Low,3,Heritage & Sacred Sanctum,Ancient Shakti Peetha & Monuments,3 to 4 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/Explore-the-Rich-Heritage-of-Jajpur-City7-hero?qlt=82&ts=1726663567178,Entry fee applicable; verify on-site,"A historic town near Cuttack known for its ancient temples and archaeological significance, including sacred sites linked to ancient Kalinga-era heritage."
26,Jobra Barrage & Maritime Museum,1.5,4.5,20.473,85.898,Low,3,"Arts, Crafts & Museum",Maritime Heritage Museum,1 to 2 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/jobra-barrage-cuttack-odisha-jobra-barrage1-attr-hero?qlt=82&ts=1726674646012,Free entry (Donations welcome; special darshan queue fees may apply),"Explore the beauty of nature at Jobra Barrage, Cuttack's stunning dam and reservoir offering breathtaking views and a peaceful escape from the city."
27,Mahanadi Barrage,2.0,4.4,20.48,85.905,Low,3,Heritage & Archaeological Site,River Engineering & Scenic Viewpoint,1.5 to 2 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/mahanadi-barrage-cuttack-odisha-1-attr-hero?qlt=82&ts=1726663709252,Entry fee applicable; verify on-site,"Experience the impressive Mahanadi Barrage in Cuttack, a major engineering feat that regulates the flow of the Mahanadi River and provides irrigation for the region."
28,Netaji Birth Place Museum (Janakinath Bhawan),2.0,4.7,20.461,85.875,Low,3,"Arts, Crafts & Museum",National Memorial & Freedom Heritage,1.5 to 2.5 Hours,https://s7ap1.scene7.com/is/image/incredibleindia/netaji-birth-place-museum-cuttack-1-odisha-attr-hero?qlt=82&ts=1726674694947,Entry fee applicable; verify on-site,"Step back in time and learn about the life of Netaji Subhas Chandra Bose at his birthplace museum in Cuttack, featuring personal belongings and memorabilia."
